date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:36:50	644424/644424	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:50%20GMT	https://www.viabcp.com/creditos/credito-vehicular/simulador-vehicular/	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/credito-vehicular/simulador-vehicular/index.html	(from https://www.viabcp.com/)
19:36:50	818345/818345	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:49%20GMT	https://www.viabcp.com/creditos/otros-creditos/adelanto-de-sueldo	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/otros-creditos/adelanto-de-sueldo.html	(from https://www.viabcp.com/)
19:36:52	697019/697019	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:51%20GMT	https://www.viabcp.com/creditos/otros-creditos/compra-de-deuda	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/otros-creditos/compra-de-deuda.html	(from https://www.viabcp.com/)
19:36:52	740663/740663	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:50%20GMT	https://www.viabcp.com/creditos/otros-creditos/credito-de-estudio	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos/otros-creditos/credito-de-estudio.html	(from https://www.viabcp.com/)
19:36:54	779762/779762	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:52%20GMT	https://www.viabcp.com/cuotealo	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/cuotealo.html	(from https://www.viabcp.com/)
19:36:56	568865/568865	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:52%20GMT	https://www.viabcp.com/creditos	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/creditos.html	(from https://www.viabcp.com/)
19:36:56	16358111/16358111	---M--	200	added ('OK')	application/pdf	etag:%22-1980755301%22	https://www.viabcp.com/wcm/connect/38c4e2a8-4601-4c0c-81b0-70634525aa0e/Inmuebles+en+venta+Junio+2022+-+vBCP.pdf?MOD=AJPERES&CVID=o4.kkYF&attachment=false&id=1654624703989	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/wcm/connect/38c4e2a8-4601-4c0c-81b0-70634525aa0e/Inmuebles+en+venta+Junio+2022+-+vBCP5cec.pdf	(from https://www.viabcp.com/)
19:36:57	646974/646974	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:56%20GMT	https://www.viabcp.com/pymes/cuentas/cuenta-ahorro/persona-juridica	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas/cuenta-ahorro/persona-juridica.html	(from https://www.viabcp.com/)
19:36:57	669953/669953	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:56%20GMT	https://www.viabcp.com/prestamo-online	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/prestamo-online.html	(from https://www.viabcp.com/)
19:36:57	649762/649762	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:57%20GMT	https://www.viabcp.com/pymes/cuentas/cuenta-ahorro/cuenta-digital-bcp	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas/cuenta-ahorro/cuenta-digital-bcp.html	(from https://www.viabcp.com/)
19:36:58	652960/652960	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:57%20GMT	https://www.viabcp.com/pymes/cuentas/cuenta-ahorro/cuenta-premio-bcp	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas/cuenta-ahorro/cuenta-premio-bcp.html	(from https://www.viabcp.com/)
19:36:58	648387/648387	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:57%20GMT	https://www.viabcp.com/pymes/cuentas/cuenta-ahorro/cuenta-ilimitada-bcp	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas/cuenta-ahorro/cuenta-ilimitada-bcp.html	(from https://www.viabcp.com/)
19:36:58	711855/711855	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:58%20GMT	https://www.viabcp.com/pymes/cuentas/cuenta-corriente/pyme	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas/cuenta-corriente/pyme.html	(from https://www.viabcp.com/)
19:36:58	681846/681846	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:58%20GMT	https://www.viabcp.com/pymes/cuentas/cuenta-corriente/atencion-carta-orden-pymes	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas/cuenta-corriente/atencion-carta-orden-pymes.html	(from https://www.viabcp.com/)
19:36:59	603655/603655	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:58%20GMT	https://www.viabcp.com/pymes/cuentas	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cuentas.html	(from https://www.viabcp.com/)
19:36:59	699610/699610	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:58%20GMT	https://www.viabcp.com/pymes/financiamiento/capital-para-negocio/credito-efectivo-activo-fijo-inmueble	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/capital-para-negocio/credito-efectivo-activo-fijo-inmueble.html	(from https://www.viabcp.com/)
19:36:59	698694/698694	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:59%20GMT	https://www.viabcp.com/pymes/financiamiento/capital-para-negocio/credito-efectivo-activo-fijo-mueble	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/capital-para-negocio/credito-efectivo-activo-fijo-mueble.html	(from https://www.viabcp.com/)
19:37:00	695526/695526	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:59%20GMT	https://www.viabcp.com/pymes/financiamiento/capital-para-negocio/credito-multiproposito	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/capital-para-negocio/credito-multiproposito.html	(from https://www.viabcp.com/)
19:37:00	661113/661113	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:36:59%20GMT	https://www.viabcp.com/pymes/financiamiento/capital-para-negocio/leasing	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/capital-para-negocio/leasing.html	(from https://www.viabcp.com/)
19:37:01	701739/701739	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:00%20GMT	https://www.viabcp.com/pymes/financiamiento/adelanto-pago/factura-negociable	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/adelanto-pago/factura-negociable.html	(from https://www.viabcp.com/)
19:37:01	647413/647413	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:01%20GMT	https://www.viabcp.com/pymes/financiamiento/adelanto-pago/factoring-electronico	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/adelanto-pago/factoring-electronico.html	(from https://www.viabcp.com/)
19:37:01	647647/647647	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:00%20GMT	https://www.viabcp.com/pymes/financiamiento/adelanto-pago/descuentos-de-letras	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/adelanto-pago/descuentos-de-letras.html	(from https://www.viabcp.com/)
19:37:01	646926/646926	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:01%20GMT	https://www.viabcp.com/pymes/financiamiento/garantia/carta-fianza-express	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/garantia/carta-fianza-express.html	(from https://www.viabcp.com/)
19:37:02	646835/646835	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:01%20GMT	https://www.viabcp.com/pymes/financiamiento/garantia/certificado-bancario	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/garantia/certificado-bancario.html	(from https://www.viabcp.com/)
19:37:02	648059/648059	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:02%20GMT	https://www.viabcp.com/pymes/financiamiento/garantia/letras-de-cobranza-en-garantia	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento/garantia/letras-de-cobranza-en-garantia.html	(from https://www.viabcp.com/)
19:37:03	615922/615922	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:02%20GMT	https://www.viabcp.com/pymes/financiamiento	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/financiamiento.html	(from https://www.viabcp.com/)
19:37:03	715194/715194	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:02%20GMT	https://www.viabcp.com/pymes/cobros/cobros-a-clientes/cobranza-de-letras	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cobros/cobros-a-clientes/cobranza-de-letras.html	(from https://www.viabcp.com/)
19:37:04	647376/647376	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:03%20GMT	https://www.viabcp.com/pymes/cobros/cobros-a-clientes/debito-automatico	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cobros/cobros-a-clientes/debito-automatico.html	(from https://www.viabcp.com/)
19:37:04	645614/645614	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:03%20GMT	https://www.viabcp.com/pymes/cobros/cobros-a-clientes/cheque-del-exterior	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cobros/cobros-a-clientes/cheque-del-exterior.html	(from https://www.viabcp.com/)
19:37:04	648659/648659	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:03%20GMT	https://www.viabcp.com/pymes/cobros/cobros-a-clientes/servicio-de-recaudacion	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cobros/cobros-a-clientes/servicio-de-recaudacion.html	(from https://www.viabcp.com/)
19:37:04	718139/718139	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:04%20GMT	https://www.viabcp.com/pymes/cobros/soluciones-cobro/culqi	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cobros/soluciones-cobro/culqi.html	(from https://www.viabcp.com/)
19:37:05	710242/710242	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:04%20GMT	https://www.viabcp.com/pymes/otros-servicios/niubiz	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/otros-servicios/niubiz.html	(from https://www.viabcp.com/)
19:37:05	603052/603052	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202022%2000:37:04%20GMT	https://www.viabcp.com/pymes/cobros	C:/My%20Web%20Sites/PAGINA%20BCP/www.viabcp.com/pymes/cobros.html	(from https://www.viabcp.com/)
